Длинна волны	% отражённого света																																	Итоговое полглощение 
624	100,111718																														71,670176			
623	99,978895																														71,488856			
622	99,848259																														71,35165			
621	99,97797																														71,322876			
620	99,999691																														71,302477			
619	100,03109																														71,199101			
618	100,005145																														71,144599			
617	99,915044																														71,005097			
616	100,01626																														70,962922			
615	100,06615																														70,824199			
614	99,957019																														70,722258			
613	99,888065																														70,59745			
612	100,034253																														70,59117			
611	99,962083																														70,422056			
610	99,970408																														70,350102			
609	100,004729																														70,257796			
608	100,011306																														70,142547			
607	100,02732																														70,00226			
606	100,045517																														69,948421			
605	99,985005																														69,913204			
604	99,876366																														69,729165			
603	100,038913																														69,714819			
602	99,980709																														69,558093			
601	100,066282																														69,442694			
600	100,008108																														69,450295			
599	99,966782																														69,289745			
598	99,915267																														69,137729			
597	99,98042																														69,071434			
596	100,049306																														68,987196			
595	100,002356																														68,808369			
594	100,013933																														68,781791			
593	99,974406																														68,604595			
592	100,047919																														68,558056			
591	100,045843																														68,421279			
590	100,029264																														68,263122			
589	100,009103																														68,242822			
588	100,017687																														68,060435			
587	100,026569																														67,958642			
586	100,06202																														67,859956			
585	100,039308																														67,718509			
584	100,032482																														67,657796			
583	100,037355																														67,50334			
582	99,956439																														67,383746			
581	99,918903																														67,206158			
580	99,951181																														67,158218			
579	100,075686																														67,114834			
578	100,0106																														66,91751			
577	99,972915																														66,754913			
576	100,034003																														66,642878			
575	99,920045																														66,542835			
574	99,940398																														66,442124			
573	100,056657																														66,321161			
572	99,972349																														66,172534			
571	99,987504																														66,028592			
570	100,017365																														65,921958			
569	99,933625																														65,72663			
568	100,036934																														65,598264			
567	99,929945																														65,44204			
566	99,983784																														65,289884			
565	100,043075																														65,243478			
564	100,021681																														65,135521			
563	99,957088																														64,964866			
562	99,991303																														64,780632			
561	99,92317																														64,597524			
560	100,059045																														64,531673			
559	100,072344																														64,384315			
558	99,944766																														64,22316			
557	99,973264																														64,055236			
556	99,884431																														63,853671			
555	99,91678																														63,739541			
554	99,981254																														63,644243			
553	100,07749																														63,545517			
552	99,986816																														63,353636			
551	99,926304																														63,224649			
550	99,970658																														63,037226			
549	99,991963																														62,922237			
548	99,8819																														62,713611			
547	100,029708																														62,665903			
546	99,95616																														62,483535			
545	99,951196																														62,305951			
544	100,018234																														62,203309			
543	99,957261																														62,011837			
542	99,944197																														61,826744			
541	99,976108																														61,687794			
540	99,979219																														61,556207			
539	100,04274																														61,437058			
538	100,024443																														61,304541			
537	99,914001																														61,088573			
536	99,958477																														60,899754			
535	100,005277																														60,83074			
534	99,99373																														60,643181			
533	99,941747																														60,502152			
532	99,916452																														60,344744			
531	99,989871																														60,184784			
530	99,95585																														60,005179			
529	99,990677																														59,889952			
528	99,985632																														59,715609			
527	100,004656																														59,547583			
526	99,974563																														59,39542			
525	99,920184																														59,228822			
524	99,950659																														59,09001			
523	100,013442																														58,936003			
522	99,974422																														58,778293			
521	99,959053																														58,609091			
520	99,977816																														58,451597			
519	99,959989																														58,272184			
518	100,002758																														58,070252			
517	99,931197																														57,916387			
516	99,942619																														57,746717			
515	99,963997																														57,593264			
514	99,934634																														57,416551			
513	99,968461																														57,243272			
512	99,980455																														57,082131			
511	99,950208																														56,935539			
510	99,975163																														56,742745			
509	99,957009																														56,573487			
508	99,99372																														56,408694			
507	99,911256																														56,248443			
506	99,933825																														56,06661			
505	99,977262																														55,903981			
504	99,933578																														55,727314			
503	99,968965																														55,529242			
502	99,945091																														55,392525			
501	99,937177																														55,208758			
500	99,910118																														55,015424			
499	99,943381																														54,833704			
498	100,033446																														54,684473			
497	99,982999																														54,487169			
496	99,985448																														54,302925			
495	99,918546																														54,093638			
494	99,914481																														53,893253			
493	99,978645																														53,765459			
492	100,015587																														53,538573			
491	99,937347																														53,321114			
490	99,925626																														53,227641			
489	99,995433																														53,061395			
488	99,972052																														52,814459			
487	99,958216																														52,655157			
486	100,009006																														52,461186			
485	100,00116																														52,227291			
484	99,981754																														52,07013			
483	99,916288																														51,886838			
482	99,975854																														51,717314			
481	99,966393																														51,49426			
480	99,949455																														51,346004			
479	99,909999																														51,176044			
478	99,903015																														51,00132			
477	99,955077																														50,854775			
476	99,939685																														50,612307			
475	99,942141																														50,431369			
474	99,959714																														50,270767			
473	100,007422																														50,0992			
472	99,950214																														49,932257			
471	99,978075																														49,747149			
470	99,967674																														49,557441			
469	99,946778																														49,388371			
468	99,953631																														49,194654			
467	99,964749																														48,991202			
466	99,977627																														48,838235			
465	99,976232																														48,664818			
464	99,955902																														48,472265			
463	99,900333																														48,263874			
462	99,953608																														48,108939			
461	99,951674																														47,884011			
460	99,941767																														47,697456			
459	100,00676																														47,542053			
458	99,947463																														47,336608			
457	99,899911																														47,098074			
456	99,899381																														46,871826			
455	99,912826																														46,650948			
454	99,927854																														46,463074			
453	99,956591																														46,265067			
452	99,998223																														46,061506			
451	99,995139																														45,826264			
450	99,931845																														45,559732			
449	99,899445																														45,307147			
448	99,9641																														45,086197			
447	99,910015																														44,823375			
446	99,926821																														44,552175			
445	99,993578																														44,315608			
444	99,972572																														44,091211			
443	99,94344																														43,855463			
442	99,933752																														43,58111			
441	99,904994																														43,33016			
440	99,903263																														43,075109			
439	99,954206																														42,819332			
438	100,020905																														42,55035			
437	100,016171																														42,306843			
436	99,97222																														42,056076			
435	99,944481																														41,769727			
434	99,948316																														41,503798			
433	99,935506																														41,213623			
432	99,947601																														40,894261			
431	99,946057																														40,639488			
430	99,939844																														40,428512			
429	99,937711																														40,129239			
428	99,91301																														39,82008			
427	99,941366																														39,575489			
426	99,915187																														39,33046			
425	99,839567																														39,054763			
424	99,894654																														38,779506			
423	99,957026																														38,504119			
422	99,962527																														38,246801			
421	99,931677																														37,984047			
420	99,969763																														37,728231			
419	99,939679																														37,475969			
418	99,806723																														37,182247			
417	99,85165																														36,913112			
416	99,916529																														36,662112			
415	99,943347																														36,41359			
414	100,009788																														36,16497			
413	99,937725																														35,86855			
412	99,9319																														35,604002			
411	99,947494																														35,335603			
410	99,933999																														35,063807			
409	100,002617																														34,797378			
408	99,973324																														34,510249			
407	99,911964																														34,225398			
406	99,887145																														33,963845			
405	99,912559																														33,709097			
404	99,937074																														33,446391			
403	99,970627																														33,172603			
402	99,963022																														32,862668			
401	100,034																														32,607375			
400	100,049158																														32,335349			
399	99,973369																														32,044151			
398	99,932216																														31,751798			
397	99,983539																														31,480335			
396	99,951986																														31,181242			
395	99,948326																														30,865289			
394	100,066511																														30,565908			
393	99,852314																														30,204343			
392	99,841337																														29,918591			
391	99,949615																														29,622479			
390	99,917083																														29,240147			
389	99,81363																														28,911505			
388	99,894025																														28,654262			
387	99,915582																														28,372495			
386	99,908656																														28,059636			
385	99,890038																														27,726696			
384	99,837503																														27,358963			
383	99,929552																														27,036007			
382	99,984189																														26,762883			
381	100,001244																														26,447677			
380	100,089774																														26,112275			
379	100,009055																														25,831737			
378	99,802451																														25,516746			
377	99,976496																														25,04508			
376	99,962928																														24,70083			
375	99,981548																														24,460337			
374	99,755685																														24,134186			
373	99,828532																														23,857261			
372	99,548458																														23,627413			
371	99,812643																														23,37004			
370	99,696497																														23,027847			
369	99,986631																														22,822274			
368	100,211632																														22,651613			
367	100,017297																														22,467724			
366	99,979161																														22,252599			
365	99,980841																														21,966577			
364	99,737737																														21,700306			
363	99,93498																														21,552656			
362	100,141326																														21,323881			
361	99,931596																														21,089245			
360	100,085197																														20,946056			
359	99,819357																														20,68646			
358	99,881011																														20,432211			
357	99,857835																														20,228901			
356	99,742202																														19,967904			
355	100,010921																														19,761169			
